"","Area","Wheat","Rice","Maize","soya","Oil_Palm","Cereals","Oil_crops","sugarcane","Roots"
"1","Algeria",0,0,0,0,0,0,0,0,8000
"2","Argentina",191500,7600,63700,34800,0,9200,49300,13500,2800
"3","Bolivia_(Plurinational_State_of)",400,800,600,800,0,400,0,1000,3900
"4","Brazil",71000,126100,596000,109800,0,7700,1300,255400,48600
"5","Bulgaria",69000,0,5000,612.244897959184,0,15000,11102.0408163265,0,0
"6","Cambodia",0,9600,500,0,0,0,0,0,100
"7","Chile",0,2800,24000,0,0,6400,1700,0,6700
"8","China,_mainland",3477700,4374900,2749800,542200,0,372900,1070500,158500,420800
"9","China,_Taiwan_Province_of",0,40000,10200,0,0,1600,1000,12000,0
"10","Colombia",0,42600,28700,600,12000,9700,0,3500,16700
"11","Costa_Rica",0,11800,500,0,1600,0,0,4300,600
"12","Dominican_Republic",0,13100,1100,0,0,300,0,12300,500
"13","Ecuador",100,21400,23000,400,3900,200,0,2200,6800
"14","Egypt",176500,77500,189900,1400,0,6200,4400,9800,24500
"15","Estonia",4800,0,0,0,0,7100,900,0,100
"16","Guatemala",1200,1100,62000,200,800,4700,0,9300,1000
"17","Guinea",0,7700,2700,0,0,0,0,0,0
"18","Honduras",0,2700,27200,0,2900,2900,0,6300,300
"19","India",2348700,2205800,115000,0,0,236900,482400,343400,0
"20","Indonesia",0,1192600,258600,7700,190000,0,5200,24500,39700
"21","Jordan",700,0,0,0,0,100,0,0,800
"22","Kenya",3800,900,18000,0,0,3900,300,1700,5700
"23","Lao_People's_Democratic_Republic",0,11400,200,0,0,0,0,0,0
"24","Latvia",112.896046615142,0,0,0,0,135.460974338345,0,0,1800
"25","Lebanon",1000,0,100,0,0,400,100,0,2000
"26","Madagascar",0,1000,0,0,0,0,0,600,700
"27","Malawi",0,2400,22200,0,0,1000,1600,500,6600
"28","Malaysia",0,59200,1800,0,277400,0,0,2600,1600
"29","Mauritania",0,3400,0,0,0,0,0,0,0
"30","Mexico",80000,109700,472600,2700,0,102300,1900,56800,6800
"31","Myanmar",0,126000,2200,0,0,0,500,2800,0
"32","Nicaragua",0,2100,8800,100,100,1500,0,2600,100
"33","Paraguay",3200,1000,3500,2800,600,1500,1300,1700,0
"34","Philippines",0,175000,116300,0,900,1700,200,25500,300
"35","United_Republic_of_Tanzania",0,3500,12500,0,0,2000,0,0,0
"36","Thailand",0,560700,58200,1700,21000,18700,1000,61400,0
"37","Togo",0,500,3000,0,0,1100,100,0,0
"38","Turkey",627636.585795735,106.359230114984,88016.2206327825,700,0,NA,54600,0,50400
"39","United_States_of_America",2087500,187800,4680800,598600,0,430500,111800,38300,117400
"40","Uruguay",11600,14400,1200,0,0,6000,3900,500,600
"41","Venezuela_(Bolivarian_Republic_of)",100,23300,33900,0,0,20000,300,10900,1100
"42","Viet_Nam",0,792300,64900,4600,0,9900,8900,31300,2300
"43","Zimbabwe",10600,0,114200,0,0,0,0,400,0
"44","Albania",5500,0,0,0,0,100,100,0,300
"45","Australia",485431.797700106,5329.71407902348,3458.35670652074,1806.0660363418,0,165937.949007933,52840.3320346858,96000,0
"46","Austria",30000,8000,29000,820.478969186492,0,24000,8179.52103081351,0,2000
"47","Azerbaijan",3400,0,0,0,0,0,0,0,0
"48","Bangladesh",39700,728400,700,0,0,0,29000,14600,0
"49","Belarus",22105.2367467453,NA,635.770083424092,0,0,NA,0,0,1100
"50","Belgium",34000,0,17000,0,0,5515.625,2000,0,9000
"51","Canada",502300,0,164700,5300,0,312000,359800,0,26900
"52","Croatia",17800,0,38600,1400,0,1400,4700,0,4600
"53","Czechia",79600,0,28000,0,0,29900,49600,0,3900
"54","Denmark",96000,0,2000,0,0,70908.656628471,8000,0,5000
"55","El_Salvador",0,900,22400,0,0,0,0,9700,0
"56","Ethiopia",10000,0,7500,22.3436174772688,0,30500,154.718151225251,0,0
"57","Fiji",0,900,0,0,0,0,0,7500,0
"58","Finland",13000,0,0,0,0,47909.7862767154,5000,0,2000
"59","France",26000,0,372000,5195.47981796717,0,186000,211718.615081782,0,40000
"60","Germany",482000,0,154000,38.8216842399491,0,447705.396381419,128002.73304657,0,40000
"61","Greece",59000,1775.79967238511,41000,2.41660553230052,0,11388.7823646684,1997.5833944677,0,10000
"62","Hungary",75600,0,13800,900,0,26600,31500,0,7400
"63","Ireland",13000,0,0,0,0,20025.7359421823,0,0,2000
"64","Israel",6300,0,5000,0,0,500,400,0,2500
