NAME_LONG;MEAN
Aruba;35
Afghanistan;17.05645036
Angola;40.97582952
Anguilla;0
Albania;43.40924422
?àland Islands;26.24184339
Andorra;4.744186047
United Arab Emirates;3.211116796
Argentina;52.88447241
Armenia;34.01055761
American Samoa;49.93333333
French Southern and Antarctic Lands;0
Antigua and Barbuda;54.26436782
Australia;34.72650342
Austria;58.79635789
Azerbaijan;30.31646307
Burundi;35.56800998
Belgium;46.77196662
Benin;59.61978838
Burkina Faso;60.28624536
Bangladesh;64.10654483
Bulgaria;54.50222805
Bahrain;2.51552795
Bahamas;43.78721058
Bosnia and Herzegovina;48.11111216
Belarus;44.30696552
Belize;50.89088109
Bermuda;0
Bolivia;48.1320222
Brazil;37.00998081
Barbados;70.38199254
Brunei Darussalam;59.9836564
Bhutan;42.10103155
Botswana;21.92597875
Central African Republic;48.81339999
Canada;51.86191616
Switzerland;52.03229179
Chile;47.02702745
China;55.51475531
C??te d'Ivoire;34.21442485
Cameroon;63.81881354
Cyprus U.N. Buffer Zone;64.09846827
Democratic Republic of the Congo;37.96754454
Republic of the Congo;41.61141795
Cook Islands;0
Colombia;49.25409545
Comoros;28.60664336
Republic of Cabo Verde;34.98165569
Costa Rica;58.14661009
Cuba;51.17226141
Cura?ºao;39.79120879
Cayman Islands;43.08661417
Northern Cyprus;57.9354133
Cyprus;64.00471476
Czech Republic;52.66533393
Germany;44.03927142
Djibouti;8.366666667
Dominica;49
Denmark;29.46591719
Dominican Republic;59.34870138
Algeria;35.181664
Ecuador;51.78688783
Egypt;24.53052813
Eritrea;48.21833226
Dhekelia;3.176595745
Spain;35.13288871
Estonia;46.19947938
Ethiopia;50.31514677
Finland;16.26134063
Fiji;56.81651901
Falkland Islands;12.40909091
France;49.09173818
Faeroe Islands;11.96899225
Federated States of Micronesia;0
Gabon;51.71451834
United Kingdom;43.16503152
Georgia;49.08727431
Guernsey;23.98938992
Ghana;47.58560323
Gibraltar;73
Guinea;45.15961268
The Gambia;34.22106984
Guinea-Bissau;52.93652663
Equatorial Guinea;66.55679443
Greece;42.0102758
Grenada;61.14285714
Guatemala;61.9738339
Guam;0
Guyana;30.2224977
Hong Kong;62.05357143
Honduras;57.17729999
Croatia;54.49706717
Haiti;54.46352518
Hungary;56.83434424
Iceland;0
Indonesia;62.07651955
Isle of Man;29.4375
India;65.73811955
Indian Ocean Territories;0
British Indian Ocean Territory;0
Ireland;49.42602579
Iran;24.24184793
Iraq;35.75466779
Israel;59.69652767
Italy;52.05013803
Jamaica;57.44853849
Jersey;26.42253521
Jordan;42.18509309
Japan;53.9427196
Baikonur Cosmodrome;0.004341534
Kazakhstan;12.42535007
Kenya;49.20619047
Kyrgyzstan;20.68996486
Cambodia;54.33338177
Kiribati;0
Saint Kitts and Nevis;65.37681159
Republic of Korea;40.56924635
Kosovo;40.83049466
Kuwait;8.431150077
Lao PDR;47.32458868
Lebanon;43.67076956
Liberia;53.64675831
Libya;21.0883754
Saint Lucia;79.43478261
Liechtenstein;42.73873874
Sri Lanka;67.73351643
Lesotho;53.12616523
Lithuania;47.20854775
Luxembourg;51.23329843
Latvia;47.48517779
Macao;22.98518519
Saint-Martin;75.33333333
Morocco;47.36217049
Monaco;13.88392857
Moldova;69.32594806
Madagascar;49.59033467
Maldives;0
Mexico;50.55051239
Marshall Islands;0
Macedonia;30.85766733
Mali;55.44258326
Malta;68.28760331
Myanmar;53.98793622
Montenegro;43.90492543
Mongolia;3.403207614
Northern Mariana Islands;0
Mozambique;49.1036749
Mauritania;34.68338606
Montserrat;41.95555556
Mauritius;60.35932393
Malawi;58.57949247
Malaysia;56.92522495
Namibia;16.76755798
New Caledonia;65.39512276
Niger;36.38750689
Norfolk Island;0
Nigeria;55.48791655
Nicaragua;65.99981918
Niue;0
Netherlands;45.23344778
Norway;22.00584903
Nepal;44.95304502
Nauru;0
New Zealand;37.83672742
Oman;5.466271081
Pakistan;37.33951323
Panama;66.18661804
Pitcairn Islands;0
Peru;17.31197553
Philippines;61.06542524
Palau;0
Papua New Guinea;64.22453469
Poland;45.64660622
Puerto Rico;47.77735521
Dem. Rep. Korea;67.49599852
Portugal;38.11910979
Paraguay;46.82714147
Palestine;62.63509322
French Polynesia;0
Qatar;1.760926288
Romania;63.31552729
Russian Federation;44.47123845
Rwanda;37.97935625
Saudi Arabia;18.50882937
Sudan;46.36420085
South Sudan;54.59218176
Senegal;27.04422395
Singapore;57.25328947
Saint Helena;0
Solomon Islands;70.86624204
Sierra Leone;51.09188739
El Salvador;53.38164963
San Marino;65.36928702
Somaliland;39.5318296
Somalia;35.28866283
Serbia;54.17130102
S?úo Tom?® and Principe;58.72529644
Suriname;59.48604269
Slovakia;65.65583525
Slovenia;53.45225942
Sweden;25.41347593
Swaziland;44.94512588
Seychelles;0
Syria;35.86856401
Turks and Caicos Islands;47.82926829
Chad;51.82875825
Togo;65.06562519
Thailand;45.55736009
Tajikistan;28.58310718
Turkmenistan;12.89091493
Timor-Leste;46.28322785
Tonga;55.93
Trinidad and Tobago;46.09114977
Tunisia;34.02876929
Turkey;31.23981773
Tuvalu;0
Taiwan;69.29299984
Tanzania;56.16023477
Uganda;42.73628635
Ukraine;63.06229101
United States Minor Outlying Islands;0
Uruguay;79.29032927
United States;63.3500301
US Naval Base Guantanamo Bay;28
Uzbekistan;26.31923641
Saint Vincent and the Grenadines;42.73333333
Venezuela;46.45824649
United States Virgin Islands;76.50790068
Vietnam;56.50659993
Vanuatu;20.84861407
Wallis and Futuna Islands;0
Akrotiri;5.446153846
Samoa;50.54860912
Yemen;12.99048372
South Africa;41.66979321
Zambia;44.96121865
Zimbabwe;42.04296607
